code,QA,fill
J737311000,0.48022681119917304,#BCE6DB
J748301001,1.7369926844988566,#7ACEB9
J750061001,0.7763309400245488,#BCE6DB
J763301001,1.9634123288043412,#7ACEB9
J782401001,2.056701538017035,#7ACEB9
J783301020,1.4423966304989722,#BCE6DB
J790061002,0.740475463775259,#BCE6DB
J793301010,1.5079652581615277,#BCE6DB
J795301010,1.0922400278342714,#BCE6DB
J795301020,0.8868787793090569,#BCE6DB
J813301001,-2.165400366911672,#D4B86A
J814301001,-1.993122447292139,#D4B86A
J820231001,-1.8838761578047094,#D4B86A
J836311001,-1.4603142740153388,#EFE0B0
J843301002,-1.1512051196484931,#EFE0B0
J844301001,-1.0313022058007426,#EFE0B0
J850231002,-1.7100323438809681,#D4B86A
J863241001,0.06155719784497413,#BCE6DB
J865301001,0.7168906603323946,#BCE6DB
J880023001,-1.4179834079993374,#EFE0B0
J881301001,-0.2695730120717724,#EFE0B0
J920251010,1.1704116885549762,#BCE6DB
J930061101,-0.277143444422119,#EFE0B0
K001872200,0.012474568107287354,#BCE6DB
K002000101,-0.37178695362123737,#EFE0B0
K010002010,-1.190112767546151,#EFE0B0
K010002201,-0.9285991762263933,#EFE0B0
K011401001,-1.6749106999125356,#EFE0B0
K011403001,-1.734076327277257,#D4B86A
K012002010,-0.9598084397566058,#EFE0B0
K021401001,-1.0041439468687505,#EFE0B0
K022001001,-1.3958764628670521,#EFE0B0
K024301001,0.45519857014792453,#BCE6DB
K025301001,0.22369982241560432,#BCE6DB
K025302001,-0.2023173018226096,#EFE0B0
K026001002,-0.748285878435437,#EFE0B0
K031000000,-0.35039056082455355,#EFE0B0
K033301001,1.7115040710418359,#7ACEB9
K034000101,-0.2422138603613547,#EFE0B0
K040301001,-0.14458903026134035,#EFE0B0
K041030000,0.5785462043180382,#BCE6DB
K043651101,0.6249414809897849,#BCE6DB
K045401001,1.1289325083512716,#BCE6DB
K045402001,1.444435805628499,#BCE6DB
K046301002,1.013533331296396,#BCE6DB
K051301001,0.9307791652350372,#BCE6DB
K053000101,1.0333249835089018,#BCE6DB
K054301001,1.7974402557720612,#7ACEB9
K055001010,-0.0893951730299439,#EFE0B0
K056752001,2.089660514801218,#7ACEB9
K061401001,3.6251583842070403,#449C93
K062451001,3.4735771215622044,#449C93
K063001010,1.1806602263614292,#BCE6DB
K064311001,2.730165988856995,#7ACEB9
K067331001,3.8266676335792686,#449C93
K067331100,4.15514769178955,#449C93
K069001001,1.0757389231040702,#BCE6DB
